sector,language,question,answer
passport,om,Paaspoortii fudhachuuf receipt beellamaa qabachuun barbaachisaa?,"Ni gorfama; receipt/reference number fi ID qabachuun fudhannaa saffisa. (DEMO)"
passport,om,Yeroon hojii (validity) paaspoortii gosaan ni garaagara?,"Eeyyee; ramaddii fi tajaajila irratti hundaa’uun ni garaagara. (DEMO)"
passport,om,Bakka tajaajilli jiraachu isaa akkamitti mirkaneessa?,"Odeeffannoo mootummaa (marsariitii/beeksisa) irraa ykn waajjira bilbilaan mirkaneessi. (DEMO)"
passport,om,Paaspoortii keessatti gosoonni tajaajilaa adda addaa jiru?,"Eeyyee; idile, tajaajila (service), fi diiploomaasii (diplomatic) fakkeenya. (DEMO)"
passport,om,Paaspoortii irratti mallattoon (signature) barbaachisaa?,"Yeroo baay’ee eeyyee; daa’imaaf garuu qajeelfamni addaa jiraachuu danda’a. (DEMO)"
passport,om,Daa’imni signature paaspoortii irratti ni barbaachisaa?,"Yeroo baay’ee hin barbaachisu; yookaan mallattoo warraa/guardianiitti hirkata. (DEMO)"
passport,om,SMS beeksisaa yoo na hin geenye maal gochuu danda’a?,"Reference numberiin status ilaali; yoo barbaachise tajaajila maamila waajjiraa qunnami. (DEMO)"
passport,om,Eenummaan iyyataa akkamitti mirkanaa’a?,"ID mootummaa, ragaa dhalootaa, fi sanadoota seeraa birootiin mirkanaa’a. (DEMO)"
passport,om,Sirreeffama paaspoortii yeroo kamiif barbaachisa?,"Maqaa, guyyaa dhalootaa, saala, ykn odeeffannoo biroo dogoggora yoo qabaate. (DEMO)"
passport,om,Haaromsa fi bakka bu’iinsa paaspoortii gidduutti maal garaagarummaa?,"Haaromsa = yeroon dhumtii irratti; bakka bu’iinsa = baduu/miidhamuu/ykn odeeffannoo jijjiiruu irratti. (DEMO)"
passport,om,Gaaffii paaspoortii irratti waajjira keessatti eenyu gaafadha?,"Bakka tajaajila maamila (information desk) ykn window qajeelchaatti gaafadhu. (DEMO)"
passport,om,Paaspoortiin seeraan qabamee turuu ni danda’a?,"Eeyyee; dhimmoota seeraa murtaa’oo (murtii mana murtii) keessatti daangeffamuu danda’a. (DEMO)"
passport,om,Odeeffannoo dhuunfaa koo akka hin miidhamne maal eeguu qaba?,"Namoota hin amanamneef hin kennin; karaa mootummaa (official channels) qofaan hojjedhu. (DEMO)"
passport,om,Paaspoortiin yoo bade gabaasni poolisii maaliif barbaachisa?,"Badii mirkaneessuuf, hammeenya ittisuuf, fi bakka bu’iinsa iyyachuuf ragaa ta’a. (DEMO)"
passport,om,Odeeffannoon paaspoortii fi sanada baankii/visa yoo hin wal simu maal ta’a?,"Tajaajila baankii/visa irratti gufuu uuma; odeeffannoo hunda walfakkaataa taasisuu barbaachisa. (DEMO)"
passport,om,Hojjetaan mootummaa tajaajila addaa (priority) ni argata?,"Yoo jiraate qajeelfama mootummaa irratti ibsama; odeeffannoo rasmiitti mirkaneessi. (DEMO)"
passport,om,Paaspoortii iyyachuuf ragaa teessoo ni barbaachisaa?,"Yeroo muraasa ni gaafamuu danda’a; garuu yeroo baay’ee ID fi sanadoota eenyummaa qofaan ni danda’ama. (DEMO)"
passport,om,Paaspoortii iyyachuuf qorannoo fayyaa ni barbaachisaa?,"Yeroo baay’ee miti; garuu haala addaa (priority) irratti ragaa fayyaa ni barbaachisa. (DEMO)"
passport,om,Haaromsaan kaffaltiin ni jijjiiramaa?,"Eeyyee; gatiin tajaajila fi saffisa irratti hundaa’uun ni jijjiirama. (DEMO)"
passport,om,Mirkaneessaaf odeeffannoo maatii ni gaafamuu danda’a?,"Eeyyee; yeroo muraasa eenyummaa mirkaneessuuf odeeffannoo dabalataa ni gaafatu. (DEMO)"
passport,om,Iyyanni yoo hin milkoofne mirgi kootii maal?,"Sababa ifatti gaafachuu, komii dhiyeessuu, fi qajeelfama seeraa hordofuu ni danda’a. (DEMO)"
passport,om,Gaaffii baay’ee common paaspoortii irratti maali?,"Sanadoota barbaachisan, kaffaltii, beellama, baayomeetirii, status, haaromsa, fi bakka bu’iinsa irratti gaaffiin baay’ee ka’a. (DEMO)"
